pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,828.2
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,835.17
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,840.44
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,845.62
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,841.39
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,833.93
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,829.92
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,831.94
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,841.54
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,847.89
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,852.31
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,849.35
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,841.81
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,835.46
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,837.09
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,844.46
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,850.22
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,857.43
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,854.25
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,846.56
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,841.18
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,842.15
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,848.31
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,860.25
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,864.94
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,862.62
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,855.56
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,851.23
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,853.75
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,861.73
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,869.37
