model,fold,n_test,MAE_clean,RMSE_clean,MAPE_clean,R2_clean,MAE_all,RMSE_all,MAPE_all,R2_all
median rate per mile by equipment,2025-05 to 2025-07,9696,153.71891942092878,188.55431142191213,8.934281682261588,0.981909356921969,206.15261414591333,654.1824198882057,11.007280839427095,0.8211922565371803
log-linear regression,2025-05 to 2025-07,9696,51.142270448101684,74.60573838978473,2.1270293513560747,0.9971677894465524,104.8003292717143,631.231089366421,4.393151201719728,0.8335187432436723
lightgbm: load + calendar,2025-05 to 2025-07,9696,135.71659394718486,168.1610390430054,5.472897214659611,0.9856109595016447,188.25203825686333,655.3386551520049,7.584118540889144,0.8205596301720921
lightgbm: + market index,2025-05 to 2025-07,9696,52.38369887068393,76.14821249140218,2.190152430847161,0.9970494668601559,106.04367814446864,632.82572249699,4.436375603865929,0.8326765418403218
lightgbm: + market index + day index,2025-05 to 2025-07,9696,54.46388829782906,78.97036163778806,2.288251937537513,0.9968267132063315,108.12285670871914,633.6736264806848,4.533993657803774,0.8322278582038074
hybrid: linear time component + lightgbm,2025-05 to 2025-07,9696,38.63886260171815,57.12032517124072,1.6292699528748882,0.9983397923417406,92.43289832327534,629.4533330149611,3.900498297479861,0.8344551557600298
median rate per mile by equipment,2025-07 to 2025-09,9671,172.4056169461718,255.16222320818778,7.959742634458393,0.963932582357083,222.80958518270717,662.9343136291159,10.106091245242702,0.8022070684397383
log-linear regression,2025-07 to 2025-09,9671,43.55616026672419,61.95337733238275,1.919815383264193,0.9978737600840522,95.66741714821903,620.57138181264,4.199933240080371,0.8266781733381394
lightgbm: load + calendar,2025-07 to 2025-09,9671,72.43599634383713,99.16391229844237,3.053047888964077,0.9945525958288601,124.05759505340488,624.0077392738473,5.322624867420926,0.8247533511554292
lightgbm: + market index,2025-07 to 2025-09,9671,62.810928306177324,85.86607456360206,2.6604618494008396,0.9959156259117101,114.6624257810502,627.064728839883,4.869001392277704,0.8230320922784364
lightgbm: + market index + day index,2025-07 to 2025-09,9671,51.14226913199777,73.15896462946372,2.21660408577623,0.9970350498564374,103.10730527013162,619.461603395098,4.522554555868157,0.8272975278163048
hybrid: linear time component + lightgbm,2025-07 to 2025-09,9671,35.05733597894011,51.000562737019926,1.536319953350811,0.9985591053459542,87.23035794597071,619.9733343850884,3.8068856769252832,0.8270120744150287
median rate per mile by equipment,2025-09 to 2025-11,9523,175.09159008257723,258.1537839661928,8.091069931754562,0.9647630261835156,229.0838184553594,670.652500389835,10.487619921029722,0.8068671186949306
log-linear regression,2025-09 to 2025-11,9523,47.68048065457882,68.09183083265744,2.1012401733675388,0.9975485014748715,103.64576776409305,632.0160008865804,4.618298663652846,0.8284790116380625
lightgbm: load + calendar,2025-09 to 2025-11,9523,70.6297609246339,99.0698905722901,2.9894862352327145,0.9948105064099382,126.16162883723189,631.6198848296389,5.548788488346871,0.8286939458362581
lightgbm: + market index,2025-09 to 2025-11,9523,86.27553291524885,118.68939150329192,3.6355615621565183,0.9925515583505401,141.71380264079593,643.9099086604082,6.055170979892625,0.8219625604482527
lightgbm: + market index + day index,2025-09 to 2025-11,9523,48.02967204475546,69.63087119532211,2.060173426820768,0.9974364294657342,104.02433967939076,633.4730939523162,4.559253647402238,0.8276872274549579
hybrid: linear time component + lightgbm,2025-09 to 2025-11,9523,39.13432744708904,56.21464508713776,1.7379475994751727,0.9983291380871584,95.22844781049953,631.0302266126675,4.251856414781343,0.8290136472080334
